channel_id,group,type,drs_name,notes,Physical,l2_board,fers_board,fers_root_board,,DRS_ROOT_Bridge_Mapping,MCP,
583,outer,Quartz,DRS_Board4_Group1_Channel1,,2,101,3,4,,DRS_Bridge1_Board1_Group0_Channel1,,
582,outer,Quartz,DRS_Board4_Group1_Channel2,,3,101,3,4,,DRS_Bridge1_Board1_Group0_Channel2,,
581,outer,Quartz,DRS_Board4_Group1_Channel3,,4,101,3,4,,DRS_Bridge1_Board1_Group0_Channel3,,
640,outer,Quartz,DRS_Board4_Group1_Channel4,,9,101,3,4,,DRS_Bridge1_Board1_Group0_Channel4,,
639,outer,Quartz,DRS_Board4_Group1_Channel5,,10,101,3,4,,DRS_Bridge1_Board1_Group0_Channel5,,
638,outer,Quartz,DRS_Board4_Group1_Channel6,,11,101,3,4,,DRS_Bridge1_Board1_Group0_Channel6,,
637,outer,Quartz,DRS_Board4_Group1_Channel7,,12,101,3,4,,DRS_Bridge1_Board1_Group0_Channel7,,
694,outer,Quartz,DRS_Board4_Group2_Channel0,,17,101,3,4,,DRS_Bridge1_Board1_Group1_Channel0,,
693,outer,Quartz,DRS_Board4_Group2_Channel1,,18,101,3,4,,DRS_Bridge1_Board1_Group1_Channel1,,
692,outer,Quartz,DRS_Board4_Group2_Channel2,,19,101,3,4,,DRS_Bridge1_Board1_Group1_Channel2,,
691,outer,Quartz,DRS_Board4_Group2_Channel3,,20,101,3,4,,DRS_Bridge1_Board1_Group1_Channel3,,
740,outer,Quartz,DRS_Board4_Group2_Channel4,,27,101,3,4,,DRS_Bridge1_Board1_Group1_Channel4,,
739,outer,Quartz,DRS_Board4_Group2_Channel5,,28,101,3,4,,DRS_Bridge1_Board1_Group1_Channel5,,
166,outer,Quartz,DRS_Board4_Group2_Channel6,,33,111,12,15,,DRS_Bridge1_Board1_Group1_Channel6,,
165,outer,Quartz,DRS_Board4_Group2_Channel7,,34,111,12,15,,DRS_Bridge1_Board1_Group1_Channel7,,
164,outer,Quartz,DRS_Board4_Group3_Channel0,,35,111,12,15,,DRS_Bridge1_Board1_Group2_Channel0,,
163,outer,Quartz,DRS_Board4_Group3_Channel1,,36,111,12,15,,DRS_Bridge1_Board1_Group2_Channel1,,
214,outer,Quartz,DRS_Board4_Group3_Channel2,,41,111,12,15,,DRS_Bridge1_Board1_Group2_Channel2,,
213,outer,Quartz,DRS_Board4_Group3_Channel3,,42,111,12,15,,DRS_Bridge1_Board1_Group2_Channel3,,
212,outer,Quartz,DRS_Board4_Group3_Channel4,,43,111,12,15,,DRS_Bridge1_Board1_Group2_Channel4,,
211,outer,Quartz,DRS_Board4_Group3_Channel5,,44,111,12,15,,DRS_Bridge1_Board1_Group2_Channel5,,
264,outer,Quartz,DRS_Board4_Group3_Channel6,,49,111,12,15,,DRS_Bridge1_Board1_Group2_Channel6,,
263,outer,Quartz,DRS_Board4_Group3_Channel7,,50,111,12,15,,DRS_Bridge1_Board1_Group2_Channel7,,
262,outer,Quartz,DRS_Board4_Group4_Channel0,,51,111,12,15,,DRS_Bridge1_Board1_Group3_Channel0,,
261,outer,Quartz,DRS_Board4_Group4_Channel1,,52,111,12,15,,DRS_Bridge1_Board1_Group3_Channel1,,
320,outer,Quartz,DRS_Board4_Group4_Channel2,,57,111,12,15,,DRS_Bridge1_Board1_Group3_Channel2,,
319,outer,Quartz,DRS_Board4_Group4_Channel3,,58,111,12,15,,DRS_Bridge1_Board1_Group3_Channel3,,
318,outer,Quartz,DRS_Board4_Group4_Channel4,,59,111,12,15,,DRS_Bridge1_Board1_Group3_Channel4,,
317,outer,Quartz,DRS_Board4_Group4_Channel5,,60,111,12,15,,DRS_Bridge1_Board1_Group3_Channel5,,
268,outer,Quartz,DRS_Board5_Group1_Channel0,,33,107,13,10,,DRS_Bridge1_Board2_Group0_Channel0,,
267,outer,Quartz,DRS_Board5_Group1_Channel1,,34,107,13,10,,DRS_Bridge1_Board2_Group0_Channel1,,
266,outer,Quartz,DRS_Board5_Group1_Channel2,,35,107,13,10,,DRS_Bridge1_Board2_Group0_Channel2,,
265,outer,Quartz,DRS_Board5_Group1_Channel3,,36,107,13,10,,DRS_Bridge1_Board2_Group0_Channel3,,
324,outer,Quartz,DRS_Board5_Group1_Channel4,,41,107,13,10,,DRS_Bridge1_Board2_Group0_Channel4,,
323,outer,Quartz,DRS_Board5_Group1_Channel5,,42,107,13,10,,DRS_Bridge1_Board2_Group0_Channel5,,
322,outer,Quartz,DRS_Board5_Group1_Channel6,,43,107,13,10,,DRS_Bridge1_Board2_Group0_Channel6,,
321,outer,Quartz,DRS_Board5_Group1_Channel7,,44,107,13,10,,DRS_Bridge1_Board2_Group0_Channel7,,
377,outer,Quartz,DRS_Board5_Group2_Channel0,,49,107,13,10,,DRS_Bridge1_Board2_Group1_Channel0,,
376,outer,Quartz,DRS_Board5_Group2_Channel1,,50,107,13,10,,DRS_Bridge1_Board2_Group1_Channel1,,
375,outer,Quartz,DRS_Board5_Group2_Channel2,,51,107,13,10,,DRS_Bridge1_Board2_Group1_Channel2,,
374,outer,Quartz,DRS_Board5_Group2_Channel3,,52,107,13,10,,DRS_Bridge1_Board2_Group1_Channel3,,
429,outer,Quartz,DRS_Board5_Group2_Channel4,,57,107,13,10,,DRS_Bridge1_Board2_Group1_Channel4,,
428,outer,Quartz,DRS_Board5_Group2_Channel5,,58,107,13,10,,DRS_Bridge1_Board2_Group1_Channel5,,
427,outer,Quartz,DRS_Board5_Group2_Channel6,,59,107,13,10,,DRS_Bridge1_Board2_Group1_Channel6,,
426,outer,Quartz,DRS_Board5_Group2_Channel7,,60,107,13,10,,DRS_Bridge1_Board2_Group1_Channel7,,
481,outer,Quartz,DRS_Board5_Group3_Channel0,,1,108,4,5,,DRS_Bridge1_Board2_Group2_Channel0,,
480,outer,Quartz,DRS_Board5_Group3_Channel1,,2,108,4,5,,DRS_Bridge1_Board2_Group2_Channel1,,
479,outer,Quartz,DRS_Board5_Group3_Channel2,,3,108,4,5,,DRS_Bridge1_Board2_Group2_Channel2,,
478,outer,Quartz,DRS_Board5_Group3_Channel3,,4,108,4,5,,DRS_Bridge1_Board2_Group2_Channel3,,
533,outer,Quartz,DRS_Board5_Group3_Channel4,,9,108,4,5,,DRS_Bridge1_Board2_Group2_Channel4,,
532,outer,Quartz,DRS_Board5_Group3_Channel5,,10,108,4,5,,DRS_Bridge1_Board2_Group2_Channel5,,
531,outer,Quartz,DRS_Board5_Group3_Channel6,,11,108,4,5,,DRS_Bridge1_Board2_Group2_Channel6,,
530,outer,Quartz,DRS_Board5_Group3_Channel7,,12,108,4,5,,DRS_Bridge1_Board2_Group2_Channel7,,
588,outer,Quartz,DRS_Board5_Group4_Channel0,,17,108,4,5,,DRS_Bridge1_Board2_Group3_Channel0,,
587,outer,Quartz,DRS_Board5_Group4_Channel1,,18,108,4,5,,DRS_Bridge1_Board2_Group3_Channel1,,
